                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0932,                 3.5525,                 4.2355,                 0.0264,                0.38307,                0.08277,                0.02131,                  3.072,                 3.4129,                 4.1534,                0.00026,                0.00026,                0.00026
                      2,                  3.009,                 3.0964,                 4.0569,                0.02831,                0.42539,                0.03436,                0.01364,                 3.0311,                 3.3939,                 4.1312,             0.00052218,             0.00052218,             0.00052218
                      3,                 2.8445,                 2.8025,                 3.8821,                0.02661,                0.40312,                0.04188,                0.01325,                 2.9989,                 3.4005,                 4.1047,             0.00076588,             0.00076588,             0.00076588
                      4,                 2.5109,                 2.3688,                 3.5303,                0.02713,                0.40646,                0.03989,                0.01352,                 2.9461,                 3.3899,                  4.078,              0.0009911,              0.0009911,              0.0009911
                      5,                 2.3161,                 2.1507,                 3.2392,                0.02697,                0.49555,                0.03948,                0.01313,                 2.8522,                 3.1324,                 3.9175,              0.0011978,              0.0011978,              0.0011978
                      6,                  2.158,                 1.9755,                 3.0114,                0.02842,                0.52227,                0.02804,                0.00743,                 2.4826,                  3.299,                 3.8146,              0.0013861,              0.0013861,              0.0013861
                      7,                 2.0618,                 1.9915,                 2.8309,                0.03897,                0.71604,                0.04241,                0.01478,                 2.5194,                   3.14,                 3.4665,              0.0015559,              0.0015559,              0.0015559
                      8,                 1.9539,                 1.8744,                  2.685,                 0.0423,                0.77728,                0.06361,                0.02332,                 1.9324,                  3.071,                 3.0489,               0.001538,               0.001538,               0.001538
                      9,                 1.8855,                  1.768,                 2.6124,                0.04685,                 0.8608,                0.33348,                0.15384,                  1.866,                 2.5918,                  2.727,               0.001538,               0.001538,               0.001538
                     10,                  1.909,                 1.7295,                 2.5802,                0.30123,                0.34744,                0.27689,                0.13109,                 1.6379,                 1.9035,                 2.4401,               0.001472,               0.001472,               0.001472
                     11,                 1.7539,                 1.6205,                 2.4381,                0.44024,                0.37485,                0.31984,                 0.1586,                 1.6731,                 1.8815,                 2.3414,               0.001406,               0.001406,               0.001406
                     12,                 1.8063,                 1.6124,                  2.457,                 0.1799,                0.37305,                0.13232,                 0.0666,                  1.764,                 2.3055,                 2.4962,                0.00134,                0.00134,                0.00134
                     13,                 1.6825,                 1.5451,                 2.3537,                0.60595,                0.55679,                0.54547,                0.29406,                 1.4704,                 1.7313,                 2.1759,               0.001274,               0.001274,               0.001274
                     14,                 1.6334,                 1.4633,                 2.3099,                0.56762,                0.54232,                0.51904,                0.26043,                 1.6076,                 1.3795,                 2.2704,               0.001208,               0.001208,               0.001208
                     15,                 1.6621,                 1.4767,                 2.2693,                 0.6369,                0.58403,                0.55877,                  0.275,                 1.7152,                 1.1807,                 2.3323,               0.001142,               0.001142,               0.001142
                     16,                 1.5934,                 1.4339,                 2.2311,                0.65208,                0.49666,                0.57209,                0.32638,                 1.5408,                 1.1563,                 2.2669,               0.001076,               0.001076,               0.001076
                     17,                 1.5736,                 1.3866,                 2.2182,                0.77338,                0.51304,                0.60335,                 0.3378,                 1.4402,                 1.1991,                 2.1411,                0.00101,                0.00101,                0.00101
                     18,                 1.5272,                 1.3358,                 2.1612,                0.80511,                0.47105,                0.60051,                0.33844,                 1.4699,                 1.1173,                 2.1238,               0.000944,               0.000944,               0.000944
                     19,                 1.4519,                 1.2842,                 2.1196,                0.71859,                0.38864,                0.54808,                0.31838,                 1.5602,                 1.1353,                 2.1727,               0.000878,               0.000878,               0.000878
                     20,                 1.4647,                  1.309,                 2.0831,                0.79092,                0.44652,                0.60186,                0.33845,                 1.5026,                0.95563,                 2.0978,               0.000812,               0.000812,               0.000812
                     21,                 1.1967,                 1.3008,                 1.8877,                0.87337,                0.39755,                0.55619,                 0.3158,                 1.4784,                 1.1542,                 2.0932,               0.000746,               0.000746,               0.000746
                     22,                 1.1218,                 1.1134,                 1.8229,                0.66724,                0.39522,                 0.5004,                0.31291,                 1.3807,                 1.0619,                 2.0747,                0.00068,                0.00068,                0.00068
                     23,                 1.1143,                 1.0682,                 1.8261,                0.90708,                0.35872,                0.54659,                0.34248,                 1.2791,                 1.0447,                 1.9575,               0.000614,               0.000614,               0.000614
                     24,                 1.0755,                 1.0342,                 1.7858,                0.90235,                0.37046,                0.55529,                0.33311,                 1.2755,                 1.0581,                 1.8951,               0.000548,               0.000548,               0.000548
                     25,                 1.0386,                0.99786,                   1.74,                0.64825,                0.29844,                0.47892,                0.28416,                 1.4053,                 1.1846,                 2.1261,               0.000482,               0.000482,               0.000482
                     26,                 1.0142,                0.97513,                  1.719,                0.73571,                0.31849,                0.48184,                0.29268,                 1.3739,                 1.1819,                 2.0972,               0.000416,               0.000416,               0.000416
                     27,                0.99256,                0.94421,                 1.6802,                0.79111,                0.37534,                 0.5272,                0.33115,                 1.2559,                 1.0716,                 1.9383,                0.00035,                0.00035,                0.00035
                     28,                0.97846,                 0.9606,                 1.6788,                0.86972,                0.34187,                0.55615,                 0.3581,                 1.1671,                0.99083,                 1.7952,               0.000284,               0.000284,               0.000284
                     29,                0.93585,                0.93852,                 1.6442,                0.86547,                0.37254,                0.56459,                0.36211,                 1.1884,                0.94943,                  1.811,               0.000218,               0.000218,               0.000218
                     30,                0.92037,                0.91848,                 1.6246,                0.86647,                 0.3931,                0.56909,                0.35663,                 1.2591,                0.95802,                 1.8969,               0.000152,               0.000152,               0.000152
